Period,Strategy,Total Return (%),CAGR (%),Ann. Vol (%),Sharpe,Max DD (%),Calmar
Bull Market (2017–2019),D10,26.2,8.1,5.5,1.459,-6.5,1.248
Bull Market (2017–2019),D20,23.5,7.3,5.8,1.25,-7.2,1.019
Bull Market (2017–2019),SPY,52.4,15.1,12.8,1.18,-19.3,0.782
Bull Market (2017–2019),AGG,12.4,4.0,2.9,1.391,-3.5,1.134
COVID Shock (2020),D10,12.9,12.9,15.2,0.845,-13.2,0.978
COVID Shock (2020),D20,11.9,11.9,13.9,0.856,-12.5,0.954
COVID Shock (2020),SPY,18.4,18.3,33.4,0.548,-33.7,0.543
COVID Shock (2020),AGG,7.5,7.4,8.4,0.891,-9.6,0.777
Recovery & Bubble (2021),D10,18.4,18.4,11.0,1.677,-5.5,3.351
Recovery & Bubble (2021),D20,26.5,26.5,12.7,2.086,-4.8,5.518
Recovery & Bubble (2021),SPY,28.7,28.7,13.0,2.213,-5.1,5.624
Recovery & Bubble (2021),AGG,-1.8,-1.8,3.6,-0.494,-3.6,-0.492
Inflation Bear (2022),D10,-19.2,-19.2,17.9,-1.076,-25.0,-0.771
Inflation Bear (2022),D20,-19.2,-19.3,17.8,-1.082,-24.8,-0.776
Inflation Bear (2022),SPY,-18.2,-18.2,24.2,-0.752,-24.5,-0.744
Inflation Bear (2022),AGG,-13.0,-13.1,8.0,-1.631,-16.0,-0.815
AI Rally (2023–2024),D10,19.2,9.2,6.4,1.446,-4.0,2.292
AI Rally (2023–2024),D20,24.8,11.8,7.6,1.544,-4.6,2.584
AI Rally (2023–2024),SPY,57.6,25.6,12.8,2.002,-10.0,2.572
AI Rally (2023–2024),AGG,7.0,3.5,6.5,0.53,-7.3,0.472
